,storagetanks,commercial,pond,square,bareland,resort,sparseresidential,mountain,farmland,bridge,meadow,baseballfield,desert,center,port,beach,denseresidential,school,playground,stadium,parking,forest,river,mediumresidential,park,industrial,viaduct,airport,railwaystation,church
storagetanks,126,2,0,2,0,1,1,0,0,0,2,2,0,2,2,1,1,2,1,0,1,0,1,0,1,2,2,5,0,3
commercial,0,110,1,2,1,0,0,0,0,0,0,0,0,0,9,0,2,6,0,0,0,0,2,0,1,3,1,0,6,6
pond,5,0,51,6,12,5,5,3,15,2,5,7,6,3,5,16,3,3,5,5,0,4,24,6,10,0,8,6,0,0
square,4,3,1,32,2,2,4,0,3,6,0,2,4,1,5,2,1,5,5,2,2,0,3,9,7,3,4,6,1,11
bareland,0,0,1,0,44,0,2,2,1,0,6,0,41,1,1,5,0,0,1,0,0,1,3,0,1,0,0,0,0,0
resort,2,5,0,5,3,24,1,0,1,2,0,2,0,1,3,2,1,5,1,5,0,0,4,4,7,2,3,2,1,4
sparseresidential,0,0,3,0,0,1,81,0,0,0,2,1,0,0,0,0,0,0,3,0,0,2,0,7,0,0,0,0,0,0
mountain,1,0,0,0,2,0,0,131,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farmland,2,1,5,0,3,0,2,0,114,1,6,0,15,0,0,2,0,0,6,1,0,0,3,1,1,1,0,0,5,1
bridge,3,0,19,1,4,4,3,0,10,23,5,6,0,3,12,10,0,1,21,5,0,0,5,3,0,0,9,7,5,1
meadow,0,0,0,0,4,0,1,0,1,0,49,0,13,0,1,5,0,0,0,0,0,3,2,1,0,0,0,0,0,0
baseballfield,2,0,2,1,0,0,0,0,0,1,0,11,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
desert,1,0,0,0,5,0,0,1,3,0,0,0,75,0,0,7,0,0,0,0,0,1,1,0,0,0,1,0,0,0
center,5,0,1,5,0,1,1,0,1,0,0,3,0,6,0,0,0,0,3,6,1,0,1,4,1,5,2,4,3,7
port,2,6,3,2,0,2,0,0,1,7,0,3,1,0,111,3,3,1,1,4,0,0,3,1,7,5,3,6,3,2
beach,1,0,3,3,14,1,0,5,2,0,23,3,19,0,0,110,0,0,2,1,2,2,4,2,0,0,0,1,1,1
denseresidential,0,5,0,2,1,0,0,1,0,0,1,1,0,0,3,0,149,9,1,1,3,1,1,2,11,5,0,1,2,10
school,1,11,0,1,0,2,0,0,1,1,0,0,0,1,2,0,11,36,2,2,1,0,3,7,8,2,1,3,0,4
playground,1,0,3,7,9,3,3,0,15,12,0,13,2,5,5,7,0,3,56,6,0,0,1,4,0,0,3,10,0,2
stadium,7,0,0,1,0,1,0,0,2,1,0,3,0,0,2,1,1,2,6,38,0,0,0,0,0,9,1,11,2,2
parking,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,176,0,0,1,1,1,2,1,0,2
forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0
river,1,2,20,3,4,7,5,7,24,1,9,0,3,1,5,12,0,6,4,1,0,7,64,1,8,0,2,5,8,0
mediumresidential,0,0,1,1,2,1,5,0,0,1,1,4,4,0,1,2,0,4,0,0,1,1,0,53,0,0,0,0,1,7
park,9,8,1,3,0,5,0,1,0,0,0,4,0,0,7,0,3,3,0,0,0,0,6,0,89,1,4,0,6,0
industrial,3,4,1,5,1,5,1,0,1,0,0,2,1,3,3,1,9,6,1,13,2,0,2,2,3,89,3,3,24,2
viaduct,2,1,3,1,2,0,0,0,6,0,0,3,1,2,0,0,0,0,7,5,2,1,4,1,2,4,150,7,16,0
airport,5,3,3,2,3,3,0,0,6,4,0,0,1,2,2,0,0,0,1,13,2,0,3,1,1,10,3,86,4,2
railwaystation,1,2,0,2,0,2,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,4,2,2,38,2
church,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,0,0,2,0,0,0,1,1,27
