reference_image_id,testing_image_id,reference_image_label,testing_image_label
7,6001,storagetanks,storagetanks
719,6002,square,storagetanks
41,6003,storagetanks,storagetanks
34,6004,storagetanks,storagetanks
2335,6005,baseballfield,storagetanks
5724,6006,railwaystation,storagetanks
70,6007,storagetanks,storagetanks
88,6008,storagetanks,storagetanks
10,6009,storagetanks,storagetanks
82,6010,storagetanks,storagetanks
390,6011,commercial,storagetanks
178,6012,storagetanks,storagetanks
82,6013,storagetanks,storagetanks
5009,6014,industrial,storagetanks
88,6015,storagetanks,storagetanks
92,6016,storagetanks,storagetanks
338,6017,commercial,storagetanks
189,6018,storagetanks,storagetanks
5066,6019,industrial,storagetanks
29,6020,storagetanks,storagetanks
41,6021,storagetanks,storagetanks
199,6022,storagetanks,storagetanks
99,6023,storagetanks,storagetanks
338,6024,commercial,storagetanks
5642,6025,railwaystation,storagetanks
157,6026,storagetanks,storagetanks
84,6027,storagetanks,storagetanks
128,6028,storagetanks,storagetanks
58,6029,storagetanks,storagetanks
17,6030,storagetanks,storagetanks
74,6031,storagetanks,storagetanks
12,6032,storagetanks,storagetanks
97,6033,storagetanks,storagetanks
64,6034,storagetanks,storagetanks
71,6035,storagetanks,storagetanks
3,6036,storagetanks,storagetanks
92,6037,storagetanks,storagetanks
139,6038,storagetanks,storagetanks
789,6039,square,storagetanks
58,6040,storagetanks,storagetanks
5426,6041,airport,storagetanks
4165,6042,parking,storagetanks
148,6043,storagetanks,storagetanks
189,6044,storagetanks,storagetanks
92,6045,storagetanks,storagetanks
132,6046,storagetanks,storagetanks
3277,6047,denseresidential,storagetanks
133,6048,storagetanks,storagetanks
975,6049,bareland,storagetanks
50,6050,storagetanks,storagetanks
5211,6051,viaduct,storagetanks
13,6052,storagetanks,storagetanks
101,6053,storagetanks,storagetanks
5009,6054,industrial,storagetanks
5585,6055,airport,storagetanks
4810,6056,park,storagetanks
174,6057,storagetanks,storagetanks
185,6058,storagetanks,storagetanks
189,6059,storagetanks,storagetanks
100,6060,storagetanks,storagetanks
7,6061,storagetanks,storagetanks
70,6062,storagetanks,storagetanks
39,6063,storagetanks,storagetanks
74,6064,storagetanks,storagetanks
12,6065,storagetanks,storagetanks
12,6066,storagetanks,storagetanks
92,6067,storagetanks,storagetanks
70,6068,storagetanks,storagetanks
4153,6069,parking,storagetanks
79,6070,storagetanks,storagetanks
80,6071,storagetanks,storagetanks
70,6072,storagetanks,storagetanks
3364,6073,denseresidential,storagetanks
70,6074,storagetanks,storagetanks
3332,6075,denseresidential,storagetanks
114,6076,storagetanks,storagetanks
71,6077,storagetanks,storagetanks
164,6078,storagetanks,storagetanks
105,6079,storagetanks,storagetanks
5068,6080,industrial,storagetanks
5753,6081,railwaystation,storagetanks
69,6082,storagetanks,storagetanks
4099,6083,parking,storagetanks
79,6084,storagetanks,storagetanks
989,6085,bareland,storagetanks
