,storagetanks,commercial,pond,square,bareland,resort,sparseresidential,mountain,farmland,bridge,meadow,baseballfield,desert,center,port,beach,denseresidential,school,playground,stadium,parking,forest,river,mediumresidential,park,industrial,viaduct,airport,railwaystation,church
storagetanks,113,5,0,3,2,1,0,0,0,1,0,1,0,0,0,1,6,0,0,1,6,0,0,1,1,5,3,4,4,2
commercial,2,114,0,1,1,1,0,0,0,0,0,0,0,0,0,0,7,4,0,0,1,0,0,0,4,4,2,1,6,2
pond,6,1,73,5,3,3,24,11,5,13,12,5,0,1,7,2,3,2,2,0,0,2,11,8,9,5,5,0,2,0
square,1,3,0,62,1,4,2,0,1,1,0,2,0,6,0,0,10,3,0,2,1,0,0,5,5,6,5,3,4,3
bareland,2,0,0,0,93,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0
resort,0,1,0,0,1,71,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,1,5,0,0,0,5,1
sparseresidential,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0
mountain,0,1,1,0,0,0,2,108,4,0,4,1,1,1,0,0,2,0,0,0,1,4,2,1,0,1,6,0,0,0
farmland,2,1,0,1,4,2,1,7,100,0,12,2,1,0,0,1,2,1,1,0,0,3,11,4,5,3,3,0,2,1
bridge,2,10,5,2,0,7,0,3,6,49,5,1,2,1,20,0,3,2,8,0,1,2,1,0,10,2,13,0,4,1
meadow,0,0,0,0,0,0,2,2,1,0,68,1,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0
baseballfield,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desert,0,0,0,0,13,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
center,3,5,0,2,0,1,0,0,0,0,0,0,0,18,0,0,2,8,0,0,1,0,0,0,1,7,3,0,2,7
port,0,4,4,1,0,9,0,1,0,14,0,0,0,1,110,8,0,1,4,0,1,1,0,0,4,1,6,1,8,1
beach,3,1,1,3,4,6,0,3,3,1,3,0,0,1,17,122,1,1,2,2,2,0,3,1,4,6,1,4,5,0
denseresidential,1,4,0,0,0,2,0,0,1,1,0,0,0,0,0,0,163,7,0,0,0,0,0,0,5,2,2,2,9,11
school,3,3,0,2,0,3,0,1,0,0,0,0,0,0,0,0,6,67,0,0,0,0,0,1,7,0,3,0,2,2
playground,0,1,0,5,0,8,2,2,4,8,5,7,0,2,3,2,11,8,56,2,2,1,3,9,17,4,3,1,3,1
stadium,3,6,0,5,0,1,0,0,0,0,0,0,0,6,0,0,9,11,1,29,1,0,0,2,2,2,4,1,6,1
parking,4,1,0,0,0,1,0,0,1,1,0,0,1,2,0,0,8,0,0,1,149,0,0,1,1,7,3,2,2,5
forest,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,46,0,0,1,0,0,0,0,0
river,1,0,2,1,1,1,7,17,16,2,14,1,0,0,1,0,4,2,0,0,1,12,110,1,5,3,4,2,1,1
mediumresidential,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,76,3,0,1,0,1,0
park,0,12,0,4,0,9,0,2,1,2,0,1,0,0,1,0,11,14,0,0,0,0,1,2,70,2,5,0,13,0
industrial,11,2,0,0,1,3,0,2,0,0,0,0,0,1,0,0,10,8,0,1,2,0,1,1,5,111,6,4,21,0
viaduct,13,7,1,5,1,4,2,2,1,1,0,0,0,2,0,0,18,7,1,0,1,0,1,8,16,16,97,6,7,3
airport,14,1,1,4,7,2,0,6,4,2,0,0,0,6,1,0,2,0,0,2,3,0,1,1,5,6,8,72,12,0
railwaystation,1,9,1,2,0,5,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,4,2,2,25,0
church,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,35
